Date,All retailing excluding automotive fuel,Predominantly food stores,Total VALUE OF INTERNET SALES £M AT CURRENT PRICES NON-SEASONALLY ADJUSTED,Non-specialised stores,"Textile, clothing and footwear stores",Household goods stores,Other stores,Non-store retailing
Jan,59.0,67.2,58.7,54.3,63.3,46.3,66.6,57.1
Feb,59.1,66.8,59.2,55.2,62.4,45.5,69.5,57.1
Mar,59.9,69.0,59.5,57.4,62.9,46.7,67.2,57.8
Apr,61.8,66.4,60.3,57.1,67.2,46.7,64.2,61.7
May,60.3,68.3,60.1,58.6,63.9,48.1,65.8,58.4
Jun,62.5,70.2,62.2,60.8,72.8,48.5,58.7,60.8
Jul,62.8,70.2,60.3,60.7,66.5,50.6,58.4,62.6
Aug,61.3,72.8,62.8,60.0,74.8,49.1,58.6,57.3
Sep,63.4,72.4,63.9,64.6,71.0,52.6,61.4,60.7
Oct,63.4,69.8,64.7,66.9,70.9,53.5,62.0,60.8
Nov,65.8,70.8,68.2,72.9,72.6,57.6,65.1,62.9
Dec,66.3,78.1,66.6,71.8,71.4,61.6,57.9,63.0
Jan,68.6,75.5,67.0,68.7,70.1,63.4,63.4,68.0
Feb,67.7,73.3,67.8,68.9,71.1,62.6,66.1,66.2
Mar,68.0,73.7,67.1,69.2,65.7,66.1,67.8,67.1
Apr,70.7,75.4,70.9,70.5,70.5,68.7,73.7,69.3
May,72.7,81.4,70.7,73.9,72.3,69.9,65.6,71.9
Jun,73.6,80.4,72.9,70.9,71.9,71.1,78.0,72.4
Jul,74.4,80.7,72.7,72.6,73.0,71.4,73.5,74.1
Aug,76.2,81.2,74.7,69.2,72.9,77.1,81.2,76.0
Sep,80.4,84.3,75.7,77.6,70.5,74.7,82.2,82.7
Oct,83.0,87.4,78.8,80.1,76.3,77.5,82.1,84.9
Nov,84.7,90.4,81.3,85.9,78.8,77.5,83.3,85.7
Dec,83.1,90.6,77.6,80.2,77.3,75.0,77.3,85.0
Jan,81.2,89.4,78.8,81.3,79.5,73.7,79.3,80.8
Feb,82.8,85.3,81.1,80.0,83.4,78.3,81.0,83.3
Mar,83.7,89.4,81.5,78.3,83.4,81.3,82.1,83.8
Apr,85.3,90.5,81.0,77.6,78.0,81.7,88.6,87.1
May,83.7,87.8,80.1,76.0,81.9,80.1,81.7,85.2
Jun,86.7,89.3,82.6,81.2,83.6,82.4,82.9,88.9
Jul,87.6,92.0,85.9,79.2,86.4,83.0,94.7,87.7
Aug,89.2,94.2,87.1,84.6,89.1,82.7,90.5,89.4
Sep,90.5,94.3,87.0,87.6,88.2,84.1,87.1,91.9
Oct,90.2,95.6,86.8,83.5,90.7,82.7,87.8,91.3
Nov,92.6,97.1,91.9,87.0,90.0,91.1,100.7,91.9
Dec,93.8,98.3,91.5,88.0,93.3,83.9,98.7,94.3
Jan,92.7,96.0,93.1,95.7,94.3,90.6,90.7,91.6
Feb,95.6,99.6,94.3,97.1,93.5,95.0,91.8,95.5
Mar,97.8,100.0,99.1,105.1,95.1,102.5,96.1,96.2
Apr,96.6,100.7,96.3,96.6,97.7,91.9,97.6,95.6
May,101.3,103.3,101.0,103.1,101.5,93.3,104.2,101.0
Jun,99.7,102.5,99.4,98.6,98.3,95.6,105.3,99.2
Jul,101.2,101.3,100.4,105.6,100.1,95.5,99.5,101.7
Aug,101.5,99.5,101.4,104.1,99.7,107.3,96.4,102.0
Sep,101.6,97.3,102.5,98.3,104.5,105.0,101.9,102.2
Oct,102.2,98.7,103.0,94.2,102.6,108.9,108.2,102.6
Nov,105.0,100.2,105.1,101.7,106.1,108.1,104.7,106.2
Dec,104.0,100.7,103.2,99.6,105.7,104.4,102.2,105.4
Jan,106.9,99.4,104.9,107.0,103.9,103.1,105.9,110.2
Feb,109.4,99.8,109.8,105.6,104.7,105.5,125.7,111.6
Mar,111.9,98.9,108.9,109.3,106.5,101.0,118.8,117.5
Apr,110.3,100.9,111.9,106.4,113.0,104.7,122.1,111.6
May,109.6,98.1,108.2,105.8,106.8,105.6,115.1,113.7
Jun,107.2,95.7,110.5,105.0,113.4,108.9,113.0,107.9
Jul,114.5,100.9,110.0,102.9,112.3,102.5,120.4,121.2
Aug,112.4,106.8,106.6,100.5,107.0,106.2,112.8,117.9
Sep,110.3,104.5,104.9,92.9,109.3,114.8,102.5,115.8
Oct,111.2,100.6,107.1,97.4,106.6,120.0,107.5,116.8
Nov,107.7,98.6,102.5,83.9,103.9,110.6,113.4,113.9
Dec,109.6,94.0,106.8,96.7,103.5,116.7,114.7,115.7
Jan,112.8,100.7,105.2,92.0,103.5,104.2,122.5,121.4
Feb,115.8,100.8,114.1,95.9,122.1,108.1,126.3,121.0
Mar,126.0,119.1,129.0,147.7,101.5,155.6,129.5,125.6
Apr,146.4,186.2,150.4,161.7,90.6,220.1,173.0,133.1
May,174.6,222.0,173.7,159.2,106.5,238.8,238.9,162.8
Jun,185.6,218.5,197.8,200.8,150.2,237.9,234.8,168.4
Jul,176.2,210.6,178.6,164.8,138.0,186.5,249.2,165.5
Aug,170.9,203.2,170.0,164.8,142.0,194.1,198.6,163.2
Sep,168.8,200.0,169.3,174.7,139.6,185.6,195.7,160.3
