Date,All retailing including automotive fuel,All Retailing excluding automotive fuel,Predominantly food stores,Total,Non-specialised stores,"Textile, clothing and footwear stores",Household goods stores,Other stores,Non-store retailing ,Automotive fuel
2015 Jan," 7,107,529 "," 6,411,598 "," 2,899,091 "," 2,994,577 "," 611,238 "," 877,347 "," 602,574 "," 903,418 "," 517,930 "," 695,931 "
2015 Feb," 7,145,288 "," 6,494,616 "," 2,898,025 "," 3,070,117 "," 623,760 "," 905,450 "," 608,528 "," 932,380 "," 526,475 "," 650,672 "
2015 Mar," 7,168,466 "," 6,503,123 "," 2,913,821 "," 3,053,510 "," 613,191 "," 901,778 "," 622,622 "," 915,920 "," 535,792 "," 665,343 "
2015 Apr," 7,210,473 "," 6,530,426 "," 2,908,366 "," 3,077,861 "," 618,491 "," 923,796 "," 623,021 "," 912,554 "," 544,199 "," 680,047 "
2015 May," 7,208,962 "," 6,524,449 "," 2,921,444 "," 3,064,569 "," 615,472 "," 904,822 "," 623,520 "," 920,756 "," 538,436 "," 684,514 "
2015 Jun," 7,245,979 "," 6,558,558 "," 2,925,341 "," 3,076,568 "," 617,809 "," 927,697 "," 621,365 "," 909,697 "," 556,649 "," 687,421 "
2015 Jul," 7,231,097 "," 6,554,091 "," 2,907,785 "," 3,063,960 "," 629,178 "," 898,013 "," 641,510 "," 895,259 "," 582,346 "," 677,006 "
2015 Aug," 7,133,949 "," 6,468,416 "," 2,869,016 "," 3,054,089 "," 620,201 "," 913,932 "," 615,238 "," 904,719 "," 545,312 "," 665,533 "
2015 Sep," 7,269,559 "," 6,592,282 "," 2,960,080 "," 3,072,449 "," 626,493 "," 905,719 "," 627,895 "," 912,342 "," 559,753 "," 677,277 "
2015 Oct," 7,165,544 "," 6,495,148 "," 2,894,992 "," 3,047,295 "," 630,569 "," 893,762 "," 615,012 "," 907,952 "," 552,862 "," 670,396 "
2015 Nov," 7,204,351 "," 6,522,030 "," 2,922,025 "," 3,044,869 "," 639,394 "," 895,898 "," 615,244 "," 894,333 "," 555,137 "," 682,321 "
2015 Dec," 7,190,288 "," 6,532,084 "," 2,945,825 "," 3,022,541 "," 639,854 "," 883,290 "," 623,409 "," 875,988 "," 563,718 "," 658,204 "
2016 Jan," 7,314,787 "," 6,617,937 "," 2,939,512 "," 3,104,977 "," 659,395 "," 877,227 "," 639,483 "," 928,872 "," 573,449 "," 696,850 "
2016 Feb," 7,260,342 "," 6,612,091 "," 2,949,279 "," 3,093,453 "," 652,121 "," 870,420 "," 640,946 "," 929,966 "," 569,360 "," 648,251 "
2016 Mar," 7,237,525 "," 6,558,526 "," 2,942,518 "," 3,028,209 "," 638,011 "," 845,376 "," 615,149 "," 929,673 "," 587,799 "," 678,999 "
2016 Apr," 7,286,572 "," 6,613,626 "," 2,925,966 "," 3,112,103 "," 653,679 "," 865,787 "," 613,360 "," 979,277 "," 575,558 "," 672,946 "
2016 May," 7,391,091 "," 6,702,856 "," 2,948,998 "," 3,132,197 "," 666,793 "," 876,186 "," 638,400 "," 950,818 "," 621,661 "," 688,235 "
2016 Jun," 7,329,313 "," 6,633,382 "," 2,943,016 "," 3,073,936 "," 630,669 "," 858,061 "," 615,398 "," 969,808 "," 616,430 "," 695,931 "
