Week,flights: (Worldwide)
24/11/2019,61
01/12/2019,62
08/12/2019,59
15/12/2019,61
22/12/2019,69
29/12/2019,75
05/01/2020,80
12/01/2020,80
19/01/2020,74
26/01/2020,62
02/02/2020,60
09/02/2020,64
16/02/2020,59
23/02/2020,58
01/03/2020,57
08/03/2020,100
15/03/2020,68
22/03/2020,34
29/03/2020,25
05/04/2020,24
12/04/2020,24
19/04/2020,23
26/04/2020,24
03/05/2020,26
10/05/2020,28
17/05/2020,32
24/05/2020,32
31/05/2020,34
07/06/2020,37
14/06/2020,36
21/06/2020,32
28/06/2020,31
05/07/2020,29
12/07/2020,28
19/07/2020,29
26/07/2020,29
02/08/2020,28
09/08/2020,26
16/08/2020,27
23/08/2020,27
30/08/2020,28
06/09/2020,27
13/09/2020,27
20/09/2020,26
27/09/2020,26
04/10/2020,27
11/10/2020,27
18/10/2020,25
25/10/2020,23
01/11/2020,23
08/11/2020,26
15/11/2020,25
