Week,hotel: (Worldwide)
24/11/2019,81
01/12/2019,81
08/12/2019,79
15/12/2019,80
22/12/2019,92
29/12/2019,100
05/01/2020,92
12/01/2020,95
19/01/2020,94
26/01/2020,86
02/02/2020,87
09/02/2020,87
16/02/2020,88
23/02/2020,83
01/03/2020,79
08/03/2020,66
15/03/2020,47
22/03/2020,34
29/03/2020,30
05/04/2020,30
12/04/2020,30
19/04/2020,30
26/04/2020,30
03/05/2020,31
10/05/2020,36
17/05/2020,41
24/05/2020,42
31/05/2020,47
07/06/2020,54
14/06/2020,59
21/06/2020,61
28/06/2020,65
05/07/2020,69
12/07/2020,71
19/07/2020,75
26/07/2020,79
02/08/2020,79
09/08/2020,78
16/08/2020,75
23/08/2020,71
30/08/2020,69
06/09/2020,68
13/09/2020,62
20/09/2020,58
27/09/2020,62
04/10/2020,67
11/10/2020,57
18/10/2020,54
25/10/2020,51
01/11/2020,42
08/11/2020,45
15/11/2020,45
