Week,Take-out: (Worldwide)
24/11/2019,23
01/12/2019,23
08/12/2019,24
15/12/2019,25
22/12/2019,29
29/12/2019,31
05/01/2020,23
12/01/2020,23
19/01/2020,24
26/01/2020,23
02/02/2020,23
09/02/2020,24
16/02/2020,24
23/02/2020,24
01/03/2020,23
08/03/2020,25
15/03/2020,45
22/03/2020,62
29/03/2020,57
05/04/2020,63
12/04/2020,74
19/04/2020,81
26/04/2020,94
03/05/2020,100
10/05/2020,81
17/05/2020,70
24/05/2020,61
31/05/2020,54
07/06/2020,52
14/06/2020,49
21/06/2020,49
28/06/2020,47
05/07/2020,46
12/07/2020,46
19/07/2020,52
26/07/2020,48
02/08/2020,52
09/08/2020,53
16/08/2020,45
23/08/2020,45
30/08/2020,43
06/09/2020,41
13/09/2020,40
20/09/2020,41
27/09/2020,40
04/10/2020,38
11/10/2020,39
18/10/2020,40
25/10/2020,41
01/11/2020,44
08/11/2020,47
15/11/2020,44
